name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
"46 Apes","![46 Apes](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/46apes/banner.jpg)\n\n46 apes encoded a message for you:\n\n`2Qu93ZhJHdsMGIlhmcgUXagMWe19icmBGbnFiOoBTZwIjM7FGd0gHdfNTbuB2a5V2X1JzcuF3MzNQf==`\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","misc","200","standard","visible","0","he2021{th4ts_m0nkey_bus1n3ss}","","",""
"Social Checker","![Social Checker](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/socialchecker/banner.jpg)\n\nSocial Checker - check if your favourite social media site is online!\n\n[http://__DOCKER_HOST__:2103](http://__DOCKER_HOST__:2103)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","web","200","standard","visible","0","he2021{1ts_fun_t0_1nj3kt_k0mmand5}","","Some characters are blocked - find a workaround!",""
"Pix FX","![Pix FX](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/pixfx/banner.jpg)\n\nHey there! We have our fancy new Pix FX service online!\n\nTry it out!\n\n[http://__DOCKER_HOST__:2110](http://__DOCKER_HOST__:2110)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","web,crypto","300","standard","visible","0","he2021{fl1pp1n_da_b1ts_gr34t_succ355}","","egg",""
"The Five Seasons","![The Five Seasons](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/thefiveseasons/banner.jpg)\n\nDid you know there were five seasons?\n\nFind the **flag** file! \n\n[http://__DOCKER_HOST__:2111](http://__DOCKER_HOST__:2111)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","web","300","standard","visible","0","he2021{Spr1ng_1s_my_f4vrt_s34sn!}","","The \ud83d\udc1fis just a trap \ud83d\ude3c\n\nA hint is hiding in one of the poems.",""
"Basement Cat","![Basement Cat](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/basementcat/banner.jpg)\n\nHi, me iz **Base**ment Cat!\n\nHere iz flag: `5jsnZDgv9EfFeoGXZrFurdz7MWAnK2WaPfszFadr`\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","misc","50","standard","visible","0","he2021{meow_nice_to_meet_you}","","The number on the image, is a hint! \ud83d\ude09\n\nCheck out Cyber Chef.",""
"Finding Mnemo","![Finding Mnemo](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/findingmnemo/banner.jpg)\n\nDorie has forgotten everything again... Luckily, there is a backup:\n\n```\n adapt    3555\n bind     824e\n bless    8fcf\n blind    81db\n civil    03ec\n craft    ed05\n garage   9db4\n good     d2ba\n half     1272 \n hip      8d53\n home     21b7\n hotel    1cb0\n lonely   e5b8\n magnet   16b9\n metal    770e\n mushroom dd80\n napkin   0829\n reason   ecd3\n rescue   5ef2\n ring     e3b0\n shift    4ea1\n small    f1f6\n sunset   b271\n tongue   f08d\n```\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","crypto","300","standard","visible","0","he2021{f1sh_r_fr1ends_n0t_f00d!}","","",""
"Hunny Bunny","![Hunny Bunny](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/hunnybunny/banner.jpg)\n\nhunnybunny loves music! Can you figure out what else he loves?\n\n`4ab56415e91e6d5172ee79d9810e30be5da8af18`\n`c19a3ca5251db76b221048ca0a445fc39ba576a0`\n`fdb2c9cd51459c2cc38c92af472f3275f8a6b393`\n`6d586747083fb6b20e099ba962a3f5f457cbaddb`\n`5587adf42a547b141071cedc7f0347955516ae13`\n\n\u2691 format: `he2021{lowercaseonlynospaces}`\n\n\n----\nCreated by `khae` for `Hacky Easter 2021`","crypto","200","standard","visible","0","he2021{hunnybunnyilovemumsomuch!}","","- The values can be cracked, but they need to be changed somehow first.\n- One of the values represents the flag prefix.",""
"Cafe Shop","![Cafe Shop](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/cafeshop/banner.jpg)\n\nThey have good things at the cafe shop, but I want a COLA - DECAF it must be!\n\nVisit the shop here:\n[http://__DOCKER_HOST__:2104](http://__DOCKER_HOST__:2104)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2021`","web,crypto","200","standard","visible","0","he2021{h3xpr3ss_urs3lf}","","They also serve hash browns, for $256.",""
"Hidden","![Hidden](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/sunshinehidden/banner.jpg)\n\nI swear I had the flag a minute ago, but now it seems to be hidden somewhere...\n\nGo back to level 3 and analyze the files of the challenges again. If you look hard enough, you can find an additional flag.\n\n\n----\nCreated by `khae` for `Hacky Easter 2021`","forensics","100","standard","visible","0","he2021{Wh0_is_scared_0f_h3xdump5?}","","The **sol**ution is hidden in an image. It's hidden in the **file content**, not in the image (no steganography). \n\nThere are some numbers in the flag: `he2021{W\u26100\u2610\u2610\u2610\u2610\u2610\u2610\u2610\u2610\u2610\u2610\u26100\u2610\u2610\u26103\u2610\u2610\u2610\u2610\u26105\u2610}`",""
"\ud83d\ude08","![\ud83d\ude08](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2021/master/challenges/whatismyname/banner.jpg)\n\nOne of the bunnies made a new friend. But when asked for the name, he only got the response below.\n\nCan you find out the friend's **name**, in **UPPERCASE**?\n\n\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\ud83d\ude08\u25ab\ufe0f\u25ab\ufe0f\u25ab\ufe0f\ud83d\ude08\n\n\n\u2691 format: `he2021{JOHNDOE}`\n\n\n\n----\nCreated by `khae` for `Hacky Easter 2021`","misc","100","standard","visible","0","he2021{BELPHEGOR}","","We need the **name** of what you find, in UPPERCASE, and wrapped in `he2021{...}`.",""
